timestamp,label
2017-09-12T09:00:08.340,0
2017-09-12T09:00:08.360,0
2017-09-12T09:00:08.380,0
2017-09-12T09:00:08.400,0
2017-09-12T09:00:08.420,0
2017-09-12T09:00:08.440,0
2017-09-12T09:00:08.460,0
2017-09-12T09:00:08.480,0
2017-09-12T09:00:08.500,0
2017-09-12T09:00:08.520,0
2017-09-12T09:00:08.540,0
2017-09-12T09:00:08.560,0
2017-09-12T09:00:08.580,0
2017-09-12T09:00:08.600,0
2017-09-12T09:00:08.620,0
2017-09-12T09:00:08.640,0
2017-09-12T09:00:08.660,0
2017-09-12T09:00:08.680,0
2017-09-12T09:00:08.700,0
2017-09-12T09:00:08.720,0
2017-09-12T09:00:08.740,0
2017-09-12T09:00:08.760,0
2017-09-12T09:00:08.780,0
2017-09-12T09:00:08.800,0
2017-09-12T09:00:08.820,0
2017-09-12T09:00:08.840,0
2017-09-12T09:00:08.860,0
2017-09-12T09:00:08.880,0
2017-09-12T09:00:08.900,0
2017-09-12T09:00:08.920,0
2017-09-12T09:00:08.940,0
2017-09-12T09:00:08.960,0
2017-09-12T09:00:08.980,0
2017-09-12T09:00:09.000,0
2017-09-12T09:00:09.020,0
2017-09-12T09:00:09.040,0
2017-09-12T09:00:09.060,0
2017-09-12T09:00:09.080,0
2017-09-12T09:00:09.100,0
2017-09-12T09:00:09.120,0
2017-09-12T09:00:09.140,0
2017-09-12T09:00:09.160,0
2017-09-12T09:00:09.180,0
2017-09-12T09:00:09.200,0
2017-09-12T09:00:09.220,0
2017-09-12T09:00:09.240,0
2017-09-12T09:00:09.260,0
2017-09-12T09:00:09.280,0
2017-09-12T09:00:09.300,0
2017-09-12T09:00:09.320,0
2017-09-12T09:00:09.340,0
2017-09-12T09:00:09.360,0
2017-09-12T09:00:09.380,0
2017-09-12T09:00:09.400,0
2017-09-12T09:00:09.420,0
2017-09-12T09:00:09.440,0
2017-09-12T09:00:09.460,0
2017-09-12T09:00:09.480,0
2017-09-12T09:00:09.500,0
2017-09-12T09:00:09.520,0
2017-09-12T09:00:09.540,0
2017-09-12T09:00:09.560,0
2017-09-12T09:00:09.580,0
2017-09-12T09:00:09.600,0
2017-09-12T09:00:09.620,0
2017-09-12T09:00:09.640,0
2017-09-12T09:00:09.660,0
2017-09-12T09:00:09.680,0
2017-09-12T09:00:09.700,0
2017-09-12T09:00:09.720,0
2017-09-12T09:00:09.740,0
2017-09-12T09:00:09.760,0
2017-09-12T09:00:09.780,0
2017-09-12T09:00:09.800,0
2017-09-12T09:00:09.820,0
2017-09-12T09:00:09.840,0
2017-09-12T09:00:09.860,0
2017-09-12T09:00:09.880,0
2017-09-12T09:00:09.900,0
2017-09-12T09:00:09.920,0
2017-09-12T09:00:09.940,0
2017-09-12T09:00:09.960,0
2017-09-12T09:00:09.980,0
2017-09-12T09:00:10.000,0
2017-09-12T09:00:10.020,0
2017-09-12T09:00:10.040,0
2017-09-12T09:00:10.060,0
2017-09-12T09:00:10.080,0
2017-09-12T09:00:10.100,0
2017-09-12T09:00:10.120,0
2017-09-12T09:00:10.140,0
2017-09-12T09:00:10.160,0
2017-09-12T09:00:10.180,0
2017-09-12T09:00:10.200,0
2017-09-12T09:00:10.220,0
2017-09-12T09:00:10.240,0
2017-09-12T09:00:10.260,0
2017-09-12T09:00:10.280,0
2017-09-12T09:00:10.300,0
2017-09-12T09:00:10.320,0
2017-09-12T09:00:10.340,0
2017-09-12T09:00:10.360,0
2017-09-12T09:00:10.380,0
2017-09-12T09:00:10.400,0
2017-09-12T09:00:10.420,0
2017-09-12T09:00:10.440,0
2017-09-12T09:00:10.460,0
2017-09-12T09:00:10.480,0
2017-09-12T09:00:10.500,0
2017-09-12T09:00:10.520,0
2017-09-12T09:00:10.540,0
2017-09-12T09:00:10.560,0
2017-09-12T09:00:10.580,0
2017-09-12T09:00:10.600,0
2017-09-12T09:00:10.620,0
2017-09-12T09:00:10.640,0
2017-09-12T09:00:10.660,0
2017-09-12T09:00:10.680,0
2017-09-12T09:00:10.700,0
2017-09-12T09:00:10.720,0
2017-09-12T09:00:10.740,0
2017-09-12T09:00:10.760,0
2017-09-12T09:00:10.780,0
2017-09-12T09:00:10.800,0
2017-09-12T09:00:10.820,0
2017-09-12T09:00:10.840,0
2017-09-12T09:00:10.860,0
2017-09-12T09:00:10.880,0
2017-09-12T09:00:10.900,0
2017-09-12T09:00:10.920,0
2017-09-12T09:00:10.940,0
2017-09-12T09:00:10.960,0
2017-09-12T09:00:10.980,0
2017-09-12T09:00:11.000,1
2017-09-12T09:00:11.020,0
2017-09-12T09:00:11.040,0
2017-09-12T09:00:11.060,0
2017-09-12T09:00:11.080,0
2017-09-12T09:00:11.100,0
2017-09-12T09:00:11.120,0
2017-09-12T09:00:11.140,0
2017-09-12T09:00:11.160,0
2017-09-12T09:00:11.180,0
2017-09-12T09:00:11.200,0
2017-09-12T09:00:11.220,0
2017-09-12T09:00:11.240,0
2017-09-12T09:00:11.260,0
2017-09-12T09:00:11.280,0
2017-09-12T09:00:11.300,0
2017-09-12T09:00:11.320,0
2017-09-12T09:00:11.340,0
2017-09-12T09:00:11.360,0
2017-09-12T09:00:11.380,0
2017-09-12T09:00:11.400,0
2017-09-12T09:00:11.420,0
2017-09-12T09:00:11.440,0
2017-09-12T09:00:11.460,0
2017-09-12T09:00:11.480,0
2017-09-12T09:00:11.500,0
2017-09-12T09:00:11.520,0
2017-09-12T09:00:11.540,0
2017-09-12T09:00:11.560,0
2017-09-12T09:00:11.580,0
2017-09-12T09:00:11.600,0
2017-09-12T09:00:11.620,0
2017-09-12T09:00:11.640,0
2017-09-12T09:00:11.660,0
2017-09-12T09:00:11.680,0
2017-09-12T09:00:11.700,0
2017-09-12T09:00:11.720,0
2017-09-12T09:00:11.740,0
2017-09-12T09:00:11.760,0
2017-09-12T09:00:11.780,0
2017-09-12T09:00:11.800,0
2017-09-12T09:00:11.820,0
2017-09-12T09:00:11.840,0
2017-09-12T09:00:11.860,0
2017-09-12T09:00:11.880,0
2017-09-12T09:00:11.900,0
2017-09-12T09:00:11.920,0
2017-09-12T09:00:11.940,0
2017-09-12T09:00:11.960,0
2017-09-12T09:00:11.980,0
2017-09-12T09:00:12.000,0
2017-09-12T09:00:12.020,0
2017-09-12T09:00:12.040,0
2017-09-12T09:00:12.060,0
2017-09-12T09:00:12.080,0
2017-09-12T09:00:12.100,0
2017-09-12T09:00:12.120,0
2017-09-12T09:00:12.140,0
2017-09-12T09:00:12.160,0
2017-09-12T09:00:12.180,0
2017-09-12T09:00:12.200,0
2017-09-12T09:00:12.220,0
2017-09-12T09:00:12.240,0
2017-09-12T09:00:12.260,0
2017-09-12T09:00:12.280,0
2017-09-12T09:00:12.300,0
2017-09-12T09:00:12.320,0
2017-09-12T09:00:12.340,0
2017-09-12T09:00:12.360,0
2017-09-12T09:00:12.380,0
2017-09-12T09:00:12.400,0
2017-09-12T09:00:12.420,0
2017-09-12T09:00:12.440,0
2017-09-12T09:00:12.460,0
2017-09-12T09:00:12.480,0
2017-09-12T09:00:12.500,0
2017-09-12T09:00:12.520,0
2017-09-12T09:00:12.540,0
2017-09-12T09:00:12.560,0
2017-09-12T09:00:12.580,0
2017-09-12T09:00:07.000,0
2017-09-12T09:00:07.020,0
2017-09-12T09:00:07.040,0
2017-09-12T09:00:07.060,0
2017-09-12T09:00:07.080,0
2017-09-12T09:00:07.100,0
2017-09-12T09:00:07.120,0
2017-09-12T09:00:07.140,0
2017-09-12T09:00:07.160,0
2017-09-12T09:00:07.180,0
2017-09-12T09:00:07.200,0
2017-09-12T09:00:07.220,0
2017-09-12T09:00:07.240,0
2017-09-12T09:00:07.260,0
2017-09-12T09:00:07.280,0
2017-09-12T09:00:07.300,0
2017-09-12T09:00:07.320,0
2017-09-12T09:00:07.340,0
2017-09-12T09:00:07.360,0
2017-09-12T09:00:07.380,0
2017-09-12T09:00:07.400,0
2017-09-12T09:00:07.420,0
2017-09-12T09:00:07.440,0
2017-09-12T09:00:07.460,0
2017-09-12T09:00:07.480,0
2017-09-12T09:00:07.500,0
2017-09-12T09:00:07.520,0
2017-09-12T09:00:07.540,0
2017-09-12T09:00:07.560,0
2017-09-12T09:00:07.580,0
2017-09-12T09:00:07.600,0
2017-09-12T09:00:07.620,0
2017-09-12T09:00:07.640,0
2017-09-12T09:00:07.660,0
2017-09-12T09:00:07.680,0
2017-09-12T09:00:07.700,0
2017-09-12T09:00:07.720,0
2017-09-12T09:00:07.740,0
2017-09-12T09:00:07.760,0
2017-09-12T09:00:07.780,0
2017-09-12T09:00:07.800,0
2017-09-12T09:00:07.820,0
2017-09-12T09:00:07.840,0
2017-09-12T09:00:07.860,0
2017-09-12T09:00:07.880,0
2017-09-12T09:00:07.900,0
2017-09-12T09:00:07.920,0
2017-09-12T09:00:07.940,0
2017-09-12T09:00:07.960,0
2017-09-12T09:00:07.980,0
2017-09-12T09:00:08.000,0
2017-09-12T09:00:08.020,0
2017-09-12T09:00:08.040,0
2017-09-12T09:00:08.060,0
2017-09-12T09:00:08.080,0
2017-09-12T09:00:08.100,0
2017-09-12T09:00:08.120,0
2017-09-12T09:00:08.140,0
2017-09-12T09:00:08.160,0
2017-09-12T09:00:08.180,0
2017-09-12T09:00:08.200,0
2017-09-12T09:00:08.220,0
2017-09-12T09:00:08.240,0
2017-09-12T09:00:08.260,0
2017-09-12T09:00:08.280,0
2017-09-12T09:00:08.300,0
2017-09-12T09:00:08.320,0
2017-09-12T09:00:08.340,0
2017-09-12T09:00:08.360,0
2017-09-12T09:00:08.380,0
2017-09-12T09:00:08.400,0
2017-09-12T09:00:08.420,0
2017-09-12T09:00:08.440,0
2017-09-12T09:00:08.460,0
2017-09-12T09:00:08.480,0
2017-09-12T09:00:08.500,0
2017-09-12T09:00:08.520,0
2017-09-12T09:00:08.540,0
2017-09-12T09:00:08.560,0
2017-09-12T09:00:08.580,0
2017-09-12T09:00:08.600,0
2017-09-12T09:00:08.620,0
2017-09-12T09:00:08.640,0
2017-09-12T09:00:08.660,0
2017-09-12T09:00:08.680,0
2017-09-12T09:00:08.700,0
2017-09-12T09:00:08.720,0
2017-09-12T09:00:08.740,0
2017-09-12T09:00:08.760,0
2017-09-12T09:00:08.780,0
2017-09-12T09:00:08.800,0
2017-09-12T09:00:08.820,0
2017-09-12T09:00:08.840,0
2017-09-12T09:00:08.860,0
2017-09-12T09:00:08.880,0
2017-09-12T09:00:08.900,0
2017-09-12T09:00:08.920,0
2017-09-12T09:00:08.940,0
2017-09-12T09:00:08.960,0
2017-09-12T09:00:08.980,0
2017-09-12T09:00:09.000,0
2017-09-12T09:00:09.020,0
2017-09-12T09:00:09.040,0
2017-09-12T09:00:09.060,0
2017-09-12T09:00:09.080,0
2017-09-12T09:00:09.100,0
2017-09-12T09:00:09.120,0
2017-09-12T09:00:09.140,0
2017-09-12T09:00:09.160,0
2017-09-12T09:00:09.180,0
2017-09-12T09:00:09.200,0
2017-09-12T09:00:09.220,0
2017-09-12T09:00:09.240,0
2017-09-12T09:00:09.260,0
2017-09-12T09:00:09.280,0
2017-09-12T09:00:09.300,0
2017-09-12T09:00:09.320,0
2017-09-12T09:00:09.340,0
2017-09-12T09:00:09.360,0
2017-09-12T09:00:09.380,0
2017-09-12T09:00:09.400,0
2017-09-12T09:00:09.420,1
2017-09-12T09:00:09.440,0
2017-09-12T09:00:09.460,0
2017-09-12T09:00:09.480,0
2017-09-12T09:00:09.500,0
2017-09-12T09:00:09.520,0
2017-09-12T09:00:09.540,0
2017-09-12T09:00:09.560,0
2017-09-12T09:00:09.580,0
2017-09-12T09:00:09.600,0
2017-09-12T09:00:09.620,0
2017-09-12T09:00:09.640,0
2017-09-12T09:00:09.660,0
2017-09-12T09:00:09.680,0
2017-09-12T09:00:09.700,0
2017-09-12T09:00:09.720,0
2017-09-12T09:00:09.740,0
2017-09-12T09:00:09.760,0
2017-09-12T09:00:09.780,0
2017-09-12T09:00:09.800,0
2017-09-12T09:00:09.820,0
2017-09-12T09:00:09.840,0
2017-09-12T09:00:09.860,0
2017-09-12T09:00:09.880,0
2017-09-12T09:00:09.900,0
2017-09-12T09:00:09.920,0
2017-09-12T09:00:09.940,0
2017-09-12T09:00:09.960,0
2017-09-12T09:00:09.980,0
2017-09-12T09:00:10.000,0
2017-09-12T09:00:10.020,0
2017-09-12T09:00:10.040,0
2017-09-12T09:00:10.060,0
2017-09-12T09:00:10.080,0
2017-09-12T09:00:10.100,0
2017-09-12T09:00:10.120,0
2017-09-12T09:00:10.140,0
2017-09-12T09:00:10.160,0
2017-09-12T09:00:10.180,0
2017-09-12T09:00:10.200,0
2017-09-12T09:00:10.220,0
2017-09-12T09:00:10.240,0
2017-09-12T09:00:10.260,0
2017-09-12T09:00:10.280,0
2017-09-12T09:00:10.300,0
2017-09-12T09:00:10.320,0
2017-09-12T09:00:10.340,0
2017-09-12T09:00:10.360,0
2017-09-12T09:00:10.380,0
2017-09-12T09:00:10.400,0
2017-09-12T09:00:10.420,0
2017-09-12T09:00:10.440,0
2017-09-12T09:00:10.460,0
2017-09-12T09:00:10.480,0
2017-09-12T09:00:10.500,0
2017-09-12T09:00:10.520,0
2017-09-12T09:00:10.540,0
2017-09-12T09:00:10.560,0
2017-09-12T09:00:10.580,0
2017-09-12T09:00:10.600,0
2017-09-12T09:00:10.620,0
2017-09-12T09:00:10.640,0
2017-09-12T09:00:10.660,0
2017-09-12T09:00:10.680,0
2017-09-12T09:00:10.700,0
2017-09-12T09:00:10.720,0
2017-09-12T09:00:10.740,0
2017-09-12T09:00:10.760,0
2017-09-12T09:00:10.780,0
2017-09-12T09:00:10.800,0
2017-09-12T09:00:10.820,0
2017-09-12T09:00:10.840,0
2017-09-12T09:00:10.860,0
2017-09-12T09:00:10.880,0
2017-09-12T09:00:10.900,0
2017-09-12T09:00:10.920,0
2017-09-12T09:00:10.940,0
2017-09-12T09:00:10.960,0
2017-09-12T09:00:10.980,0
2017-09-12T09:00:11.000,0
2017-09-12T09:00:11.020,0
2017-09-12T09:00:11.040,0
2017-09-12T09:00:11.060,0
2017-09-12T09:00:11.080,0
2017-09-12T09:00:11.100,0
2017-09-12T09:00:11.120,0
2017-09-12T09:00:11.140,0
2017-09-12T09:00:11.160,0
2017-09-12T09:00:11.180,0
2017-09-12T09:00:11.200,0
2017-09-12T09:00:11.220,0
2017-09-12T09:00:11.240,0
2017-09-12T09:00:11.260,0
2017-09-12T09:00:11.280,0
2017-09-12T09:00:11.300,0
2017-09-12T09:00:11.320,0
2017-09-12T09:00:11.340,0
2017-09-12T09:00:11.360,0
2017-09-12T09:00:11.380,0
2017-09-12T09:00:11.400,0
2017-09-12T09:00:11.420,0
2017-09-12T09:00:11.440,0
2017-09-12T09:00:11.460,0
2017-09-12T09:00:11.480,0
2017-09-12T09:00:11.500,0
2017-09-12T09:00:11.520,0
2017-09-12T09:00:11.540,0
2017-09-12T09:00:11.560,0
2017-09-12T09:00:11.580,0
2017-09-12T09:00:11.600,0
2017-09-12T09:00:11.620,0
2017-09-12T09:00:11.640,0
2017-09-12T09:00:11.660,0
2017-09-12T09:00:11.680,0
2017-09-12T09:00:11.700,0
2017-09-12T09:00:11.720,0
2017-09-12T09:00:11.740,0
2017-09-12T09:00:11.760,0
2017-09-12T09:00:11.780,0
2017-09-12T09:00:11.800,0
2017-09-12T09:00:11.820,0
2017-09-12T09:00:11.840,0
2017-09-12T09:00:11.860,0
2017-09-12T09:00:11.880,0
2017-09-12T09:00:11.900,0
2017-09-12T09:00:11.920,0
2017-09-12T09:00:11.940,0
2017-09-12T09:00:11.960,0
2017-09-12T09:00:11.980,0
2017-09-12T09:00:12.000,0
2017-09-12T09:00:12.020,0
2017-09-12T09:00:12.040,0
2017-09-12T09:00:12.060,0
2017-09-12T09:00:12.080,0
2017-09-12T09:00:12.100,0
2017-09-12T09:00:12.120,0
2017-09-12T09:00:12.140,0
2017-09-12T09:00:12.160,0
2017-09-12T09:00:12.180,0
2017-09-12T09:00:12.200,0
2017-09-12T09:00:12.220,0
2017-09-12T09:00:12.240,0
2017-09-12T09:00:12.260,0
2017-09-12T09:00:12.280,0
2017-09-12T09:00:12.300,0
2017-09-12T09:00:12.320,0
2017-09-12T09:00:12.340,0
2017-09-12T09:00:12.360,0
2017-09-12T09:00:12.380,0
2017-09-12T09:00:12.400,0
2017-09-12T09:00:12.420,0
2017-09-12T09:00:12.440,0
2017-09-12T09:00:12.460,0
2017-09-12T09:00:12.480,0
2017-09-12T09:00:12.500,0
2017-09-12T09:00:12.520,0
2017-09-12T09:00:12.540,0
2017-09-12T09:00:12.560,0
2017-09-12T09:00:12.580,0
2017-09-12T09:00:07.000,0
2017-09-12T09:00:07.020,0
2017-09-12T09:00:07.040,0
2017-09-12T09:00:07.060,0
2017-09-12T09:00:07.080,0
2017-09-12T09:00:07.100,0
2017-09-12T09:00:07.120,0
2017-09-12T09:00:07.140,0
2017-09-12T09:00:07.160,0
2017-09-12T09:00:07.180,0
2017-09-12T09:00:07.200,0
2017-09-12T09:00:07.220,0
2017-09-12T09:00:07.240,0
2017-09-12T09:00:07.260,0
2017-09-12T09:00:07.280,0
2017-09-12T09:00:07.300,0
2017-09-12T09:00:07.320,0
2017-09-12T09:00:07.340,0
2017-09-12T09:00:07.360,0
2017-09-12T09:00:07.380,0
2017-09-12T09:00:07.400,0
2017-09-12T09:00:07.420,0
2017-09-12T09:00:07.440,0
2017-09-12T09:00:07.460,0
2017-09-12T09:00:07.480,0
2017-09-12T09:00:07.500,0
2017-09-12T09:00:07.520,0
2017-09-12T09:00:07.540,0
2017-09-12T09:00:07.560,0
2017-09-12T09:00:07.580,0
2017-09-12T09:00:07.600,0
2017-09-12T09:00:07.620,0
2017-09-12T09:00:07.640,0
2017-09-12T09:00:07.660,0
2017-09-12T09:00:07.680,0
2017-09-12T09:00:07.700,0
2017-09-12T09:00:07.720,0
2017-09-12T09:00:07.740,0
2017-09-12T09:00:07.760,0
2017-09-12T09:00:07.780,0
2017-09-12T09:00:07.800,0
2017-09-12T09:00:07.820,0
2017-09-12T09:00:07.840,0
2017-09-12T09:00:07.860,0
2017-09-12T09:00:07.880,0
2017-09-12T09:00:07.900,0
2017-09-12T09:00:07.920,1
2017-09-12T09:00:07.940,0
2017-09-12T09:00:07.960,0
2017-09-12T09:00:07.980,0
2017-09-12T09:00:08.000,0
2017-09-12T09:00:08.020,0
2017-09-12T09:00:08.040,0
2017-09-12T09:00:08.060,0
2017-09-12T09:00:08.080,0
2017-09-12T09:00:08.100,0
2017-09-12T09:00:08.120,0
2017-09-12T09:00:08.140,0
2017-09-12T09:00:08.160,0
2017-09-12T09:00:08.180,0
2017-09-12T09:00:08.200,0
2017-09-12T09:00:08.220,0
2017-09-12T09:00:08.240,0
2017-09-12T09:00:08.260,0
2017-09-12T09:00:08.280,0
2017-09-12T09:00:08.300,0
2017-09-12T09:00:08.320,0
2017-09-12T09:00:08.340,0
2017-09-12T09:00:08.360,0
2017-09-12T09:00:08.380,0
2017-09-12T09:00:08.400,0
2017-09-12T09:00:08.420,0
2017-09-12T09:00:08.440,0
2017-09-12T09:00:08.460,0
2017-09-12T09:00:08.480,0
2017-09-12T09:00:08.500,0
2017-09-12T09:00:08.520,0
2017-09-12T09:00:08.540,0
2017-09-12T09:00:08.560,0
2017-09-12T09:00:08.580,0
2017-09-12T09:00:08.600,0
2017-09-12T09:00:08.620,0
2017-09-12T09:00:08.640,0
2017-09-12T09:00:08.660,0
2017-09-12T09:00:08.680,0
2017-09-12T09:00:08.700,0
2017-09-12T09:00:08.720,0
2017-09-12T09:00:08.740,0
2017-09-12T09:00:08.760,0
2017-09-12T09:00:08.780,0
2017-09-12T09:00:08.800,0
2017-09-12T09:00:08.820,0
2017-09-12T09:00:08.840,0
2017-09-12T09:00:08.860,0
2017-09-12T09:00:08.880,0
2017-09-12T09:00:08.900,0
2017-09-12T09:00:08.920,0
2017-09-12T09:00:08.940,0
2017-09-12T09:00:08.960,0
2017-09-12T09:00:08.980,0
2017-09-12T09:00:09.000,0
2017-09-12T09:00:09.020,0
2017-09-12T09:00:09.040,0
2017-09-12T09:00:09.060,0
2017-09-12T09:00:09.080,0
2017-09-12T09:00:09.100,0
2017-09-12T09:00:09.120,0
2017-09-12T09:00:09.140,0
2017-09-12T09:00:09.160,0
2017-09-12T09:00:09.180,0
2017-09-12T09:00:09.200,0
2017-09-12T09:00:09.220,0
2017-09-12T09:00:09.240,0
2017-09-12T09:00:09.260,0
2017-09-12T09:00:09.280,0
2017-09-12T09:00:09.300,0
2017-09-12T09:00:09.320,0
2017-09-12T09:00:09.340,0
2017-09-12T09:00:09.360,0
2017-09-12T09:00:09.380,0
2017-09-12T09:00:09.400,0
2017-09-12T09:00:09.420,0
2017-09-12T09:00:09.440,0
2017-09-12T09:00:09.460,0
2017-09-12T09:00:09.480,0
2017-09-12T09:00:09.500,0
2017-09-12T09:00:09.520,0
2017-09-12T09:00:09.540,0
2017-09-12T09:00:09.560,0
2017-09-12T09:00:09.580,0
2017-09-12T09:00:09.600,0
2017-09-12T09:00:09.620,0
2017-09-12T09:00:09.640,0
2017-09-12T09:00:09.660,0
2017-09-12T09:00:09.680,0
2017-09-12T09:00:09.700,0
2017-09-12T09:00:09.720,0
2017-09-12T09:00:09.740,0
2017-09-12T09:00:09.760,0
2017-09-12T09:00:09.780,0
2017-09-12T09:00:09.800,0
2017-09-12T09:00:09.820,0
2017-09-12T09:00:09.840,0
2017-09-12T09:00:09.860,0
2017-09-12T09:00:09.880,0
2017-09-12T09:00:09.900,0
2017-09-12T09:00:09.920,0
2017-09-12T09:00:09.940,0
2017-09-12T09:00:09.960,0
2017-09-12T09:00:09.980,0
2017-09-12T09:00:10.000,0
2017-09-12T09:00:10.020,0
2017-09-12T09:00:10.040,0
2017-09-12T09:00:10.060,0
2017-09-12T09:00:10.080,0
2017-09-12T09:00:10.100,0
2017-09-12T09:00:10.120,0
2017-09-12T09:00:10.140,0
2017-09-12T09:00:10.160,0
2017-09-12T09:00:10.180,0
2017-09-12T09:00:10.200,0
2017-09-12T09:00:10.220,0
2017-09-12T09:00:10.240,0
2017-09-12T09:00:10.260,0
2017-09-12T09:00:10.280,0
2017-09-12T09:00:10.300,0
2017-09-12T09:00:10.320,0
2017-09-12T09:00:10.340,0
2017-09-12T09:00:10.360,0
2017-09-12T09:00:10.380,0
2017-09-12T09:00:10.400,0
2017-09-12T09:00:10.420,0
2017-09-12T09:00:10.440,0
2017-09-12T09:00:10.460,0
2017-09-12T09:00:10.480,0
2017-09-12T09:00:10.500,0
2017-09-12T09:00:10.520,0
2017-09-12T09:00:10.540,0
2017-09-12T09:00:10.560,0
2017-09-12T09:00:10.580,0
2017-09-12T09:00:10.600,0
2017-09-12T09:00:10.620,0
2017-09-12T09:00:10.640,0
2017-09-12T09:00:10.660,0
2017-09-12T09:00:10.680,0
2017-09-12T09:00:10.700,0
2017-09-12T09:00:10.720,0
2017-09-12T09:00:10.740,0
2017-09-12T09:00:10.760,0
2017-09-12T09:00:10.780,0
2017-09-12T09:00:10.800,0
2017-09-12T09:00:10.820,0
2017-09-12T09:00:10.840,0
2017-09-12T09:00:10.860,0
2017-09-12T09:00:10.880,0
2017-09-12T09:00:10.900,0
2017-09-12T09:00:10.920,0
2017-09-12T09:00:10.940,0
2017-09-12T09:00:10.960,0
2017-09-12T09:00:10.980,0
2017-09-12T09:00:11.000,0
2017-09-12T09:00:11.020,0
2017-09-12T09:00:11.040,0
2017-09-12T09:00:11.060,0
2017-09-12T09:00:11.080,0
2017-09-12T09:00:11.100,0
2017-09-12T09:00:11.120,0
2017-09-12T09:00:11.140,0
2017-09-12T09:00:11.160,0
2017-09-12T09:00:11.180,0
2017-09-12T09:00:11.200,0
2017-09-12T09:00:11.220,0
2017-09-12T09:00:11.240,0
2017-09-12T09:00:11.260,0
2017-09-12T09:00:11.280,0
2017-09-12T09:00:11.300,0
2017-09-12T09:00:11.320,0
2017-09-12T09:00:11.340,0
2017-09-12T09:00:11.360,0
2017-09-12T09:00:11.380,0
2017-09-12T09:00:11.400,0
2017-09-12T09:00:11.420,0
2017-09-12T09:00:11.440,0
2017-09-12T09:00:11.460,0
2017-09-12T09:00:11.480,0
2017-09-12T09:00:11.500,0
2017-09-12T09:00:11.520,0
2017-09-12T09:00:11.540,0
2017-09-12T09:00:11.560,0
2017-09-12T09:00:11.580,0
2017-09-12T09:00:11.600,0
2017-09-12T09:00:11.620,1
2017-09-12T09:00:11.640,0
2017-09-12T09:00:11.660,0
2017-09-12T09:00:11.680,0
2017-09-12T09:00:11.700,0
2017-09-12T09:00:11.720,0
2017-09-12T09:00:11.740,0
2017-09-12T09:00:11.760,0
2017-09-12T09:00:11.780,0
2017-09-12T09:00:11.800,0
2017-09-12T09:00:11.820,0
2017-09-12T09:00:11.840,0
2017-09-12T09:00:11.860,0
2017-09-12T09:00:11.880,0
2017-09-12T09:00:11.900,0
2017-09-12T09:00:11.920,0
2017-09-12T09:00:11.940,0
2017-09-12T09:00:11.960,0
2017-09-12T09:00:11.980,0
2017-09-12T09:00:12.000,0
2017-09-12T09:00:12.020,0
2017-09-12T09:00:12.040,0
2017-09-12T09:00:12.060,0
2017-09-12T09:00:12.080,0
2017-09-12T09:00:12.100,0
2017-09-12T09:00:12.120,0
2017-09-12T09:00:12.140,0
2017-09-12T09:00:12.160,0
2017-09-12T09:00:12.180,0
2017-09-12T09:00:12.200,0
2017-09-12T09:00:12.220,0
